Title,Details,File,Status,Stage,Source,Create at,Year,Month,Day,Sent by,Sent to,Custom response,Classification Title,Classification Source
SOLICITUD CDC BDD 636,"#### Estimad@ Cindy Belén Espinoza Aguirre""; ; **Tarea asignada, aprobar la solicitud de CDC, sin su injerencia el flujo se detendrá.**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:**; ; Zuleyma Peña. Coordinadora PDE; ; ; **DATOS DEL SOLICITANTE**; - Fecha de ingreso:.................  2025-08-15T15:34:50.1430981; - Nombre:.....................................  Jeanine Vallejo Villa; - Correo:........................................  jvallejov@usfq.edu.ec; ""- Cargo:..............",,Completed,Empty,Control De Cambios Infraestructura | 8/15/2025 9:47:45 PM | Aprobado,8/15/2025 3:35:00 PM,2025,8,15,Control De Cambios Infraestructura,"Control De Cambios Infraestructura,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Infraestructura
ANALISIS FUNCIONAL DEL SERVICIO  CRM RECRUIT CDC 373,"**Estimado**""; ; ""**Se han aplicado cambios a nivel de seguridad del equipo, ahora tiene asignado la tarea """"""""analisis funcional"""""""" por favor verificar el estado del servicio**""; ; Datos:; ; Ambiente: PRODUCCIÓN; Servicio: CRM RECRUIT; Servidores: P-CRM-APP-01, P-CRM-WEB-01, P-CRM-ASYN-01; ; Técnicos Responsables: ; ; * Edwin Fabián Arévalo Baldeón; * William Patricio Carvajal Eras; ; Saludos; ;",,Completed,Empty,"Claudia Arcos Obando | 7/30/2025 10:26:17 AM | FUNCIONAL LISTO | Comment: Buenos días, se ha validado el servicio funcional en forma general. De todas maneras se estará atenta a alguna novedad que reporte el área de Admisiones. ; ; Saludos; ""Claudia""""",7/28/2025 9:38:45 AM,2025,7,28,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Claudia Arcos Obando",",""",Análisis Funcional,Otro
CDC BDD No 631,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; María Dolores Lasso - Decanato de Grado; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-07-24T08:52:10.7812450; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.......................................","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 7/24/2025 2:01:10 PM | APROBADO,7/24/2025 8:52:16 AM,2025,7,24,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
"PUBLICACIÓN SOBRE IIs,N° 204","#### Estimado Freddy Guzmán Martínez""; ; **Tarea asignada, aprobar la solicitud de CDC Publicación, sin su injerencia el flujo se detendrá.**; ; **DATOS DE LA SOLICITUD**; ; - Fecha de ingreso:......................  2025-07-16T16:37:31.8406353; - Nombre:.....................................  Santiago Córdova Paredes; - Correo:........................................  scordova@usfq.edu.ec; - Cargo:.........................................  Coordinador de Desarrollo; ""- Tipo:.................................",,Completed,Empty,Freddy Guzmán Martínez | 7/16/2025 9:38:36 PM | Aprobado,7/16/2025 4:37:43 PM,2025,7,16,Control De Cambios Infraestructura,"Control De Cambios Infraestructura,Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Publicación,Otro
"PUBLICACIÓN SOBRE IIs,N° 202","#### Estimado Freddy Guzmán Martínez""; ; **Tarea asignada, aprobar la solicitud de CDC Publicación, sin su injerencia el flujo se detendrá.**; ; **DATOS DE LA SOLICITUD**; ; - Fecha de ingreso:......................  2025-07-14T12:29:30.8452439; - Nombre:.....................................  Santiago Córdova Paredes; - Correo:........................................  scordova@usfq.edu.ec; - Cargo:.........................................  Coordinador de Desarrollo; ""- Tipo:.................................",,Completed,Empty,Freddy Guzmán Martínez | 7/14/2025 5:31:09 PM | Aprobado,7/14/2025 12:29:48 PM,2025,7,14,Control De Cambios Infraestructura,"Control De Cambios Infraestructura,Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Publicación,Otro
CDC BDD No 630,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Juan Sosa - Registro; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-07-09T11:10:14.4724486; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.........................................  Asistente de Pr","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 7/9/2025 4:35:43 PM | APROBADO,7/9/2025 11:10:31 AM,2025,7,9,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
CDC BDD No 629,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Registro: Juan Sosa; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-07-08T18:00:50.7927126; - Nombre:.....................................  David Cruz; - Correo:........................................  dcruz@usfq.edu.ec; - Cargo:.........................................  Coordinador de Producción; ""- Tipo:.","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 7/9/2025 3:06:45 PM | APROBADO,7/8/2025 6:00:59 PM,2025,7,8,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
CDC BDD No 628,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; María Dolores Lasso - Decanato de Grado; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-07-02T14:36:48.9712597; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.......................................","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 7/2/2025 7:41:58 PM | APROBADO,7/2/2025 2:36:54 PM,2025,7,2,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
CDC BDD No 627,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; Registro: Juan Sosa; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-07-02T14:36:50.3493680; - Nombre:.....................................  David Cruz; - Correo:........................................  dcruz@usfq.edu.ec; - Cargo:.........................................  Coordinador de Producción; ""- Tipo:.","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 7/2/2025 7:42:03 PM | APROBADO,7/2/2025 2:36:54 PM,2025,7,2,Control De Cambios Infraestructura,"Cindy Belén Espinoza Aguirre,Freddy Guzmán Martínez",",""",Base de Datos,Otro
CDC BDD No 626,"#### Estimado ""; ; **Se ha asignado una solicitud por favor revisar la información recibida:**; ; **AUTORIDAD, ÁREA, DEPARTAMENTO, DIRECCIÓN, COORDINACIÓN QUIEN SOLICITA:  ; ; María Dolores Lasso - Decanato de Grado; ; **DATOS DEL SOLICITANTE**; ; - Fecha de ingreso:....................  2025-07-01T09:41:32.7230283; - Nombre:.....................................  Daniela Cisneros Jacome; - Correo:........................................  dcisnerosj@usfq.edu.ec; ""- Cargo:.......................................","https://estudusfqedu-my.sharepoint.com/:x:/g/personal/cdcinfra_usfq_edu_ec/EQsdF6fnQoFHlZM8bxFLcSEBSty09RmggFsCUx6K0YtZ4w?e=aJlAmi,Catalogo de Servicios Infraestructura",Completed,Empty,Freddy Guzmán Martínez | 7/1/2025 2:42:10 PM | APROBADO,7/1/2025 9:41:38 AM,2025,7,1,Control De Cambios Infraestructura,"Freddy Guzmán Martínez,Cindy Belén Espinoza Aguirre",",""",Base de Datos,Otro
